id_,year,month,day,type,value
MX000017004,2010,1,30,TMAX,278.0
MX000017004,2010,1,30,TMIN,145.0
MX000017004,2010,2,2,TMAX,273.0
MX000017004,2010,2,2,TMIN,144.0
MX000017004,2010,2,3,TMAX,241.0
MX000017004,2010,2,3,TMIN,144.0
MX000017004,2010,2,11,TMAX,297.0
MX000017004,2010,2,11,TMIN,134.0
MX000017004,2010,2,23,TMAX,299.0
MX000017004,2010,2,23,TMIN,107.0
MX000017004,2010,3,5,TMAX,321.0
MX000017004,2010,3,5,TMIN,142.0
MX000017004,2010,3,10,TMAX,345.0
MX000017004,2010,3,10,TMIN,168.0
MX000017004,2010,3,16,TMAX,311.0
MX000017004,2010,3,16,TMIN,176.0
MX000017004,2010,4,27,TMAX,363.0
MX000017004,2010,4,27,TMIN,167.0
MX000017004,2010,5,27,TMAX,332.0
MX000017004,2010,5,27,TMIN,182.0
MX000017004,2010,5,29,PRCP,25.0
